Weighted amount,Deal Description,"Cumulative time in ""BANT Deal. Pain ID'ed (Sales Pipeline)"" (HH:mm:ss)","Cumulative time in ""Opportunity (Sales Pipeline)"" (HH:mm:ss)",Days to close,Deal Score,Close Date,Deal source attribution 2,"Cumulative time in ""In Trial - Trial in Progress (Sales Pipeline)"" (HH:mm:ss)",Contract Start Date,"Cumulative time in ""Partner Referrals  (Sales Pipeline)"" (HH:mm:ss)","Cumulative time in ""Closed Lost (Sales Pipeline)"" (HH:mm:ss)","Cumulative time in ""Deep Dive. PSP Drafted (Sales Pipeline)"" (HH:mm:ss)",Pipeline,Record ID,Forecast category,Original Traffic Source,Associated Company,Deal owner,Annual contract value,Is Closed (numeric),Amount in company currency,Annual recurring revenue,Monthly recurring revenue,Deal probability,Associated Company (Primary),Is Closed Won,Forecast probability,Contract End Date,Last Activity Date,Contract Term (Months),Trial Start date,Is closed lost,Weighted amount in company currency,Is Deal Closed?,Trial End Date,Deal Name,Amount,"Cumulative time in ""Closed Trial (Sales Pipeline)"" (HH:mm:ss)",Forecast amount,"Cumulative time in ""Negotiation (Sales Pipeline)"" (HH:mm:ss)",Is Open (numeric),"Cumulative time in ""Renewals  (Sales Pipeline)"" (HH:mm:ss)",Create Date,"Cumulative time in ""Contract Sent (Sales Pipeline)"" (HH:mm:ss)",Total contract value,Last Modified Date,"Cumulative time in ""Closed Won (Sales Pipeline)"" (HH:mm:ss)",Deal Stage,Deal Type
21600.0,Sym Creation PS - 30 syms/mo for 12 months,,,15.0,39.0,2025-03-01 14:35,Other,,,,,,Sales Pipeline,33452127129,Commit,Offline Sources,Associated_1e50a2dc,Deal_90c2529c,,0.0,36000.0,,,0.6,Associated_1e50a2dc,False,,2026-02-28,2025-02-17 12:45,,,False,21600.0,False,,Deal_6432ac98,36000.0,,36000.0,,1.0,,2025-02-13 14:37,,,2025-02-20 13:32,,Negotiation,PS
6912.0,Renewals,,,78.0,78.0,2025-05-02 13:10,Other,,,,,,Sales Pipeline,33428494649,Closed won,Direct Traffic,Associated_d5d73b63,Deal_3cf008ff,,0.0,8640.0,,,0.8,Associated_d5d73b63,False,,,2025-02-14 09:16,,,False,6912.0,False,,Deal_75b3c5f3,8640.0,,8640.0,,1.0,,2025-02-12 13:12,,,2025-02-14 10:12,,Renewals ,Renewal
4500.0,BPO,,46:22:58,17.0,67.0,2025-02-28 16:18,Event,,,,,90:47:23,Sales Pipeline,33352193280,Best case,Offline Sources,Associated_5f406859,Deal_86a875eb,,0.0,9000.0,,,0.5,Associated_5f406859,False,,,2025-02-20 14:18,,,False,4500.0,False,,Deal_72587a37,9000.0,,9000.0,,1.0,,2025-02-11 15:05,,,2025-02-20 15:20,,Contract Sent,New
3000.0,50-70 agents,,,51.0,17.0,2025-03-31 08:36,Event,,,,,,Sales Pipeline,33166281555,Best case,Organic Search,Associated_40e6b3d8,Deal_86a875eb,,0.0,15000.0,,,0.2,Associated_40e6b3d8,False,,,2025-02-06 15:00,,,False,3000.0,False,,Deal_5bf7df16,15000.0,,15000.0,,1.0,,2025-02-07 08:37,,,2025-02-20 14:51,,Opportunity,New
5000.0,Zenarate Head to head,,279:41:57,60.0,26.0,2025-04-04 13:06,Event,,,,,,Sales Pipeline,32916862310,Pipeline,Offline Sources,Associated_a44196b5,Deal_3d3dc242,,0.0,50000.0,,,0.1,Associated_a44196b5,False,,,2025-02-18 17:45,,,False,5000.0,False,,Deal_a44196b5,50000.0,,50000.0,,1.0,,2025-02-02 20:24,,,2025-02-18 17:46,,BANT Deal. Pain ID'ed,New
20000.0,"33,000 employees - training",,,149.0,8.0,2025-06-23 14:19,SymTrain EE name,,,,,,Sales Pipeline,32403166800,Pipeline,Offline Sources,Associated_19d0e31a,Deal_3d3dc242,,0.0,100000.0,,,0.2,Associated_19d0e31a,False,,,2025-01-24 13:19,,,False,20000.0,False,,Deal_392d403c,100000.0,,100000.0,,1.0,,2025-01-24 13:20,,,2025-02-12 05:02,,Opportunity,New
8750.0,"Additional growth of $8,750 in the renewal",,,0.0,,2025-01-24 11:38,Other,,,,,,Sales Pipeline,32406302863,Closed won,Offline Sources,Associated_ced7599c,Deal_3cf008ff,,1.0,8750.0,,,1.0,Associated_ced7599c,True,,,2025-01-22 14:07,,,False,8750.0,True,,Deal_be17815e,8750.0,,8750.0,,0.0,,2025-01-24 11:38,,,2025-01-24 11:38,,Closed Won,Growth
56000.0,Renewal,,,342.0,34.0,2026-01-01 16:49,Other,,,,,,Sales Pipeline,32387026986,Not forecasted,Direct Traffic,Associated_ced7599c,Deal_3cf008ff,,0.0,70000.0,,,0.8,Associated_ced7599c,False,,,2025-02-14 09:57,,,False,56000.0,False,,Deal_f3dec22f,70000.0,,70000.0,,1.0,,2025-01-23 16:51,,,2025-02-17 05:01,,Renewals ,Renewal
61250.0,Renewal completed,,,0.0,,2025-01-23 16:48,Other,,,,,,Sales Pipeline,32387026438,Closed won,Direct Traffic,Associated_ced7599c,Deal_3cf008ff,,1.0,61250.0,,,1.0,Associated_ced7599c,True,,,2025-01-22 14:07,,,False,61250.0,True,,Deal_593e723a,61250.0,,61250.0,,0.0,,2025-01-23 16:47,,,2025-02-19 13:47,,Closed Won,Renewal
9600.0,Renewal,,,363.0,45.0,2026-01-21 14:18,Other,,,,,,Sales Pipeline,32325340702,Not forecasted,Offline Sources,Associated_67d87cec,Deal_3cf008ff,,0.0,12000.0,,,0.8,Associated_67d87cec,False,,,2025-02-14 09:53,,,False,9600.0,False,,Deal_7e468196,12000.0,,12000.0,,1.0,,2025-01-22 14:20,,,2025-02-14 10:55,,Renewals ,Renewal
6000.0,training for 80-100 contact center support folks,,,149.0,7.0,2025-06-21 12:57,Social Media,,,,,,Sales Pipeline,32323660311,Pipeline,Other Campaigns,Associated_962a5b50,Deal_3d3dc242,,0.0,30000.0,,,0.2,Associated_962a5b50,False,,,2025-02-12 22:14,,,False,6000.0,False,,Deal_094e672a,30000.0,,30000.0,,1.0,,2025-01-22 11:58,,,2025-02-12 22:14,,Opportunity,New
900.0,Referral,,00:00:22,36.0,63.0,2025-02-28 10:27,Customer Referral - Other,,,,,,Sales Pipeline,32323647596,Commit,Offline Sources,Associated_18dbc2c2,Deal_86a875eb,,0.0,1500.0,,,0.6,Associated_18dbc2c2,False,,,2025-02-03 15:30,,,False,900.0,False,,Deal_26f5f245,1500.0,,1500.0,,1.0,,2025-01-22 10:56,530:17:23,,2025-02-13 14:15,,Negotiation,New
2500.0,customer care center,,,149.0,4.0,2025-06-16 09:33,SymTrain EE name,,,,,,Sales Pipeline,32144763302,Pipeline,Offline Sources,Associated_251cfa24,Deal_3d3dc242,,0.0,50000.0,,,0.05,Associated_251cfa24,False,,,2025-01-20 19:47,,,False,2500.0,False,,Deal_7834762c,50000.0,,50000.0,,1.0,,2025-01-17 08:34,,,2025-02-05 13:33,,Partner Referrals ,New
9000.0,BPO Partner,,672:37:03,31.0,,2025-02-17 11:22,Referral Partner,,,01:21:21,,90:52:46,Sales Pipeline,32118663507,Closed won,Offline Sources,Associated_20e01e1c,Deal_86a875eb,,1.0,9000.0,,,1.0,Associated_20e01e1c,True,,,2025-02-14 11:00,,,False,9000.0,True,,Deal_30f9f8c9,9000.0,,9000.0,,0.0,,2025-01-16 11:25,03:06:08,,2025-02-17 11:22,,Closed Won,New
3240.0,Growth opp of 30 user licenses,,,32.0,,2025-02-18 08:18,Other,,,,,,Sales Pipeline,32114225970,Closed won,Organic Search,Associated_bcd8dc22,Deal_3cf008ff,,1.0,3240.0,,,1.0,Associated_bcd8dc22,True,,,2025-02-04 12:00,,,False,3240.0,True,,Deal_7672e374,3240.0,,3240.0,,0.0,,2025-01-16 10:48,789:29:49,,2025-02-18 08:18,,Closed Won,Growth
6600.0,RFI and then RFP,,675:33:56,149.0,13.0,2025-06-15 09:50,Search,,,,,,Sales Pipeline,32114215222,Pipeline,Organic Search,Associated_57aad22b,Deal_86a875eb,,0.0,66000.0,,,0.1,Associated_57aad22b,False,,,2025-01-21 13:10,,,False,6600.0,False,,Deal_ca635151,66000.0,,66000.0,,1.0,,2025-01-16 09:52,,,2025-02-13 14:27,,BANT Deal. Pain ID'ed,New
3300.0,Additional 11 licenses,,,7.0,,2025-01-22 09:07,Other,,,00:00:13,,,Sales Pipeline,31999369068,Closed won,Offline Sources,Associated_50618d32,Deal_3cf008ff,,1.0,3300.0,,,1.0,Associated_50618d32,True,,,2025-01-13 10:15,,,False,3300.0,True,,Deal_11aa567c,3300.0,,3300.0,,0.0,,2025-01-14 10:57,190:09:23,,2025-02-13 14:21,,Closed Won,Growth
39600.0,BPO Program,,672:28:36,46.0,48.0,2025-02-28 13:11,Referral Partner,,,74:18:08,,,Sales Pipeline,31934084477,Commit,Offline Sources,Associated_712816c0,Deal_86a875eb,,0.0,66000.0,,,0.6,Associated_712816c0,False,,,2025-02-19 10:50,,,False,39600.0,False,,Deal_8dc8509b,66000.0,,66000.0,,1.0,,2025-01-13 10:24,,,2025-02-20 13:24,,Negotiation,New
10000.0,Leadership training,,,149.0,10.0,2025-06-12 10:10,Event,,,,,,Sales Pipeline,31930752356,Pipeline,Offline Sources,Associated_2e05a403,Deal_3d3dc242,,0.0,50000.0,,,0.2,Associated_2e05a403,False,,,2025-01-08 13:15,,,False,10000.0,False,,Deal_b6d3cc22,50000.0,,50000.0,,1.0,,2025-01-13 09:13,,,2025-02-12 11:48,,Opportunity,New
6000.0,Leadership training,,,149.0,5.0,2025-06-08 12:56,Event,,,24:30:45,,,Sales Pipeline,31735800916,Pipeline,Offline Sources,Associated_5d1508dd,Deal_3d3dc242,,0.0,30000.0,,,0.2,Associated_5d1508dd,False,,,2025-01-07 14:11,,,False,6000.0,False,,Deal_58dc7187,30000.0,,30000.0,,1.0,,2025-01-09 11:57,,,2025-02-03 12:53,,Opportunity,New
36000.0,2026 RENEWALS,,,356.0,42.0,2025-12-31 07:14,Other,,,,,,Sales Pipeline,31711896177,Not forecasted,Offline Sources,Associated_7059f1f6,Deal_3cf008ff,,0.0,45000.0,,,0.8,Associated_7059f1f6,False,,,2025-02-20 10:25,,,False,36000.0,False,,Deal_13fe5fc9,45000.0,,45000.0,,1.0,,2025-01-08 14:36,,,2025-02-20 10:25,,Renewals ,Renewal
72000.0,"Signed a 3 year deal, 2 + 1 year option",,,538.0,38.0,2026-06-30 15:42,Other,,,,,,Sales Pipeline,31660157212,Best case,Offline Sources,Associated_3131dcee,Deal_90c2529c,,0.0,90000.0,,,0.8,Associated_3131dcee,False,,,2025-02-14 09:00,,,False,72000.0,False,,Deal_773edb2c,90000.0,,90000.0,,1.0,,2025-01-07 15:45,,,2025-02-14 09:00,,Renewals ,Renewal
6540.0,Moving from regular plan to Silver plan due to usa...,,,143.0,7.0,2025-05-31 15:27,Other,,,,,,Sales Pipeline,31660153986,Best case,Offline Sources,Associated_73370300,Deal_90c2529c,,0.0,32700.0,,,0.2,Associated_73370300,False,,,2025-02-17 12:00,,,False,6540.0,False,,Deal_e1f3bf77,32700.0,,32700.0,,1.0,,2025-01-07 15:26,,,2025-02-17 12:03,,Opportunity,Growth
5000.0,Deal is for Full-Time Implementation Resource and ...,,,22.0,,2025-01-29 16:44,SymTrain EE name,,,,,,Sales Pipeline,31622911152,Closed won,Organic Search,Associated_daef39a4,Deal_3d3dc242,,1.0,5000.0,,,1.0,Associated_daef39a4,True,,,2025-01-17 14:49,,,False,5000.0,True,,Deal_48981b94,5000.0,,5000.0,546:55:29,0.0,,2025-01-06 21:49,,,2025-02-18 08:31,,Closed Won,PS
72000.0,Door to Door sales folks for training and coaching,,,62.0,23.0,2025-02-28 16:44,SymTrain EE name,,,,,,Sales Pipeline,31094685962,Best case,Offline Sources,Associated_9ef23a44,Deal_3d3dc242,,0.0,144000.0,,,0.5,Associated_9ef23a44,False,,,2025-01-07 09:15,,,False,72000.0,False,,Deal_f9ebeca8,144000.0,,144000.0,,1.0,,2024-12-27 16:45,,,2025-01-29 11:25,,Contract Sent,New
60000.0,Users and Professional Services,,,0.0,,2024-12-27 13:07,Other,,,,,,Sales Pipeline,31085879129,Closed won,Offline Sources,Associated_c37219b0,Deal_bb6f872e,,1.0,60000.0,,,1.0,Associated_c37219b0,True,,,2024-12-18 11:00,,,False,60000.0,True,,Deal_d2167c24,60000.0,,60000.0,,0.0,,2024-12-27 13:07,,,2024-12-27 13:13,,Closed Won,New
18000.0,"Growth to next tier of 2,501-5,000 agents for CVS ...",,,149.0,17.0,2025-05-22 17:16,SymTrain EE name,,,,,,Sales Pipeline,30914795108,Pipeline,Offline Sources,Associated_3131dcee,Deal_90c2529c,,0.0,90000.0,,,0.2,Associated_3131dcee,False,,,2025-02-14 09:00,,,False,18000.0,False,,Deal_2ca5cce7,90000.0,,90000.0,,1.0,,2024-12-23 16:18,,,2025-02-14 09:00,,Opportunity,Growth
7840.0,Renewal,,,134.0,53.0,2025-05-01 15:51,Other,,,,,,Sales Pipeline,30658873758,Pipeline,Offline Sources,Associated_059fd31c,Deal_066bf106,,0.0,9800.0,,,0.8,Associated_059fd31c,False,,,2025-02-14 09:31,,,False,7840.0,False,,Deal_839d7380,9800.0,,9800.0,,1.0,,2024-12-17 15:52,,,2025-02-14 10:33,,Renewals ,Renewal
6000.0,Growth Opportunity,,,149.0,15.0,2025-05-16 15:43,Customer Referral CSM,,,,,,Sales Pipeline,30658872628,Pipeline,Offline Sources,Associated_f62b3a08,Deal_066bf106,,0.0,30000.0,,,0.2,Associated_f62b3a08,False,,,2025-02-14 09:58,,,False,6000.0,False,,Deal_9bc32ceb,30000.0,,30000.0,,1.0,,2024-12-17 15:44,,,2025-02-14 10:59,,Opportunity,Growth
6000.0,Renewal,,,148.0,14.0,2025-05-15 15:40,Other,,,,,,Sales Pipeline,30658872107,Best case,Offline Sources,Associated_f62b3a08,Deal_066bf106,,0.0,30000.0,,,0.2,Associated_f62b3a08,False,,,2025-02-14 09:35,,,False,6000.0,False,,Deal_cc93ff2e,30000.0,,30000.0,,1.0,305:43:12,2024-12-17 15:41,00:00:14,,2025-02-14 10:36,,Opportunity,Renewal
7500.0,70 Total Seats - 50 Paid + 20 free,,,37.0,31.0,2025-01-24 12:32,Other,,,,,,Sales Pipeline,30678155410,Best case,Offline Sources,Associated_f62b3a08,Deal_066bf106,,0.0,15000.0,,,0.5,Associated_f62b3a08,False,,,2025-02-14 09:19,,,False,7500.0,False,,Deal_572ac118,15000.0,,15000.0,,1.0,260:47:33,2024-12-17 15:38,,,2025-02-14 10:24,,Contract Sent,Renewal
12000.0,Opportunity,,,149.0,9.0,2025-05-15 14:29,PAM,,,,,,Sales Pipeline,30462267311,Best case,Offline Sources,Associated_f1347334,Deal_86a875eb,,0.0,60000.0,,,0.2,Associated_f1347334,False,,,2024-12-16 16:26,,,False,12000.0,False,,Deal_988a19ef,60000.0,,60000.0,,1.0,,2024-12-16 14:30,,,2024-12-24 08:20,,Opportunity,New
20000.0,Trial / Investment Opportunity,,,199.0,17.0,2025-07-01 13:00,Other,,,93:05:04,,,Sales Pipeline,30366316072,Not forecasted,Offline Sources,Associated_585764ba,Deal_066bf106,,0.0,100000.0,,,0.2,Associated_585764ba,False,,,,,,False,20000.0,False,,Deal_3f03fd13,100000.0,,100000.0,,1.0,,2024-12-13 13:03,,,2025-01-02 11:45,,Opportunity,New
6000.0,Internal Coaching / Contact Centers,,,171.0,9.0,2025-06-03 12:55,Email campaign,,,,,,Sales Pipeline,30366315268,Not forecasted,Offline Sources,Associated_d50ebe18,Deal_066bf106,,0.0,30000.0,,,0.2,Associated_d50ebe18,False,,,2024-12-13 13:35,,,False,6000.0,False,,Deal_8dc5f168,30000.0,,30000.0,,1.0,,2024-12-13 12:56,,,2024-12-26 01:49,,Opportunity,New
6000.0,Internal Coaching,,,149.0,5.0,2025-05-12 12:53,Email campaign,,,93:14:39,,,Sales Pipeline,30366314920,Not forecasted,Offline Sources,Associated_0dfb083c,Deal_066bf106,,0.0,30000.0,,,0.2,Associated_0dfb083c,False,,,2024-12-17 09:28,,,False,6000.0,False,,Deal_0dfb083c,30000.0,,30000.0,,1.0,,2024-12-13 12:54,,,2025-01-07 13:34,,Opportunity,New
6000.0,Roland Digital Instruments,,,149.0,9.0,2025-05-12 12:50,Email campaign,,,,,,Sales Pipeline,30364426407,Not forecasted,Offline Sources,Associated_4ef56ad0,Deal_066bf106,,0.0,30000.0,,,0.2,Associated_4ef56ad0,False,,,2024-12-11 13:59,,,False,6000.0,False,,Deal_4ef56ad0,30000.0,,30000.0,,1.0,,2024-12-13 12:52,,,2024-12-25 09:24,,Opportunity,New
20000.0,tbd,,,149.0,14.0,2025-05-12 12:36,Event,,,,,,Sales Pipeline,30366312740,Not forecasted,Offline Sources,Associated_69d59a17,Deal_066bf106,,0.0,100000.0,,,0.2,Associated_69d59a17,False,,,2025-01-30 15:28,,,False,20000.0,False,,Deal_69d59a17,100000.0,,100000.0,,1.0,,2024-12-13 12:37,,,2025-02-19 06:41,,Opportunity,New
3600.0,Contact Works,,1171:27:09,53.0,,2025-02-02 20:40,Email campaign,,,,,,Sales Pipeline,30181727847,Closed won,Offline Sources,Associated_ef999322,Deal_17defa5f,,1.0,3600.0,,,1.0,Associated_ef999322,True,,,2025-02-11 17:00,,,False,3600.0,True,,Deal_1460fa25,3600.0,,3600.0,99:49:48,0.0,,2024-12-11 16:45,,,2025-02-20 15:29,04:37:59,Closed Won,New
4200.0,In Trial,,,273.0,30.0,2025-09-11 16:34,Other,,,,,,Sales Pipeline,30188807349,Commit,Offline Sources,Associated_eed97016,Deal_17defa5f,,0.0,6000.0,,,0.7,Associated_eed97016,False,,,2024-12-18 17:00,,,False,4200.0,False,,Deal_eed97016,6000.0,,6000.0,,1.0,,2024-12-11 16:36,,,2025-01-14 13:29,,In Trial - Trial in Progress,New
4500.0,60 syms for Richemont,,,68.0,,2025-02-12 09:16,Other,,,95:12:38,,,Sales Pipeline,29909537170,Closed won,Direct Traffic,Associated_1bb3381b,Deal_3d3dc242,,1.0,4500.0,,,1.0,Associated_1bb3381b,True,,,2025-02-12 11:45,,,False,4500.0,True,,Deal_a810a3a3,4500.0,,4500.0,1557:20:11,0.0,,2024-12-05 12:43,,,2025-02-12 11:57,,Closed Won,PS
5000.0,SSO Implementation,,,68.0,,2025-02-12 09:16,Other,,,95:13:30,,,Sales Pipeline,29903516742,Closed won,Direct Traffic,Associated_1bb3381b,Deal_3d3dc242,,1.0,5000.0,,,1.0,Associated_1bb3381b,True,,,2025-02-12 11:45,,,False,5000.0,True,,Deal_91f100d6,5000.0,,5000.0,1557:20:11,0.0,,2024-12-05 12:42,,,2025-02-12 11:57,,Closed Won,PS
30000.0,"100 agents, training and coaching",,,68.0,,2025-02-12 09:16,PAM,,,00:00:30,,,Sales Pipeline,29909536831,Closed won,Direct Traffic,Associated_1bb3381b,Deal_3d3dc242,,1.0,30000.0,,,1.0,Associated_1bb3381b,True,,,2025-02-12 11:45,,,False,30000.0,True,,Deal_1bb3381b,30000.0,,30000.0,1652:34:43,0.0,,2024-12-05 12:41,,,2025-02-12 11:57,,Closed Won,New
0.0,BPO,,1585:30:04,70.0,,2025-02-13 13:25,Other,,,115:01:42,,,Sales Pipeline,29874514335,Not forecasted,Offline Sources,Associated_3f08c810,Deal_86a875eb,,1.0,55000.0,,,0.0,Associated_3f08c810,False,,,2024-12-04 11:00,,,True,0.0,True,,Deal_c7da5ef8,55000.0,,55000.0,,0.0,,2024-12-04 16:53,,,2025-02-13 13:26,,Closed Lost,New
6000.0,Waiting for NDA approval,,,132.0,12.0,2025-04-16 14:40,Event,,,,,,Sales Pipeline,29857459859,Not forecasted,Offline Sources,Associated_240f00f8,Deal_066bf106,,0.0,30000.0,,,0.2,Associated_240f00f8,False,,,2025-02-14 15:00,,,False,6000.0,False,,Deal_240f00f8,30000.0,,30000.0,,1.0,,2024-12-04 14:41,,,2025-02-14 16:01,,Opportunity,New
0.0,Opportunity,,1397:59:05,58.0,,2025-01-29 16:54,Email campaign,,,,,,Sales Pipeline,29772670982,Not forecasted,Direct Traffic,Associated_36da2521,Deal_17defa5f,,1.0,6000.0,,,0.0,Associated_36da2521,False,,,2024-12-18 14:00,,,True,0.0,True,,Deal_ea8c4f3a,6000.0,,6000.0,,0.0,,2024-12-02 10:55,,,2025-01-29 16:54,,Closed Lost,New
4500.0,Pilot stage,,,9.0,,2024-12-11 16:32,Email campaign,,,,,,Sales Pipeline,29770676800,Closed won,Offline Sources,Associated_eed97016,Deal_17defa5f,,1.0,4500.0,,,1.0,Associated_eed97016,True,,,2024-12-10 15:00,,,False,4500.0,True,,Deal_eed97016,4500.0,,4500.0,,0.0,,2024-12-02 10:43,221:47:52,,2024-12-23 12:52,,Closed Won,PS
10000.0,Sales Team,,,148.0,7.0,2025-04-23 10:50,Event,,,,,,Sales Pipeline,29547238775,Not forecasted,Offline Sources,Associated_d1384a48,Deal_066bf106,,0.0,50000.0,,,0.2,Associated_d1384a48,False,,,2024-12-03 10:36,,,False,10000.0,False,,Deal_e38a3379,50000.0,,50000.0,,1.0,,2024-11-25 10:51,,,2024-12-11 04:44,,Opportunity,New
20000.0,Very similar use case to Citibank,,00:00:03,148.0,8.0,2025-04-23 09:21,Other,,,338:32:38,,,Sales Pipeline,29547220914,Not forecasted,Offline Sources,Associated_4a11abd4,Deal_066bf106,,0.0,100000.0,,,0.2,Associated_4a11abd4,False,,,2024-12-13 12:22,,,False,20000.0,False,,Deal_db9756cc,100000.0,,100000.0,,1.0,,2024-11-25 09:22,,,2024-12-24 23:18,,Opportunity,New
6000.0,Recruiting / Onboarding,,,106.0,8.0,2025-03-12 09:12,Event,,,00:07:23,,,Sales Pipeline,29539001767,Pipeline,Offline Sources,Associated_47086e42,Deal_066bf106,,0.0,30000.0,,,0.2,Associated_47086e42,False,,,2025-01-09 10:05,,,False,6000.0,False,,Deal_47086e42,30000.0,,30000.0,,1.0,,2024-11-25 09:13,,,2025-01-22 17:29,,Opportunity,New
